,STATION ID,TIME,NAME,BIKE STANDS,AVAILABLE BIKE STANDS,Usage
9252,69,2018-08-01 13:00:00,GRAND CANAL DOCK,40,0,0.0
9264,69,2018-08-01 14:00:00,GRAND CANAL DOCK,40,0,0.0
9276,69,2018-08-01 15:00:00,GRAND CANAL DOCK,40,6,15.0
9288,69,2018-08-01 16:00:00,GRAND CANAL DOCK,40,14,35.0
9300,69,2018-08-01 17:00:00,GRAND CANAL DOCK,40,33,82.5
9312,69,2018-08-01 18:00:00,GRAND CANAL DOCK,40,39,97.5
9324,69,2018-08-01 19:00:00,GRAND CANAL DOCK,40,37,92.5
9336,69,2018-08-01 20:00:00,GRAND CANAL DOCK,40,40,100.0
9348,69,2018-08-01 21:00:00,GRAND CANAL DOCK,40,35,87.5
9360,69,2018-08-01 22:00:00,GRAND CANAL DOCK,40,40,100.0
9372,69,2018-08-01 23:00:00,GRAND CANAL DOCK,40,39,97.5
10080,75,2018-08-01 13:00:00,JAMES STREET,40,39,97.5
10092,75,2018-08-01 14:00:00,JAMES STREET,40,40,100.0
10104,75,2018-08-01 15:00:00,JAMES STREET,40,40,100.0
10116,75,2018-08-01 16:00:00,JAMES STREET,40,38,95.0
10128,75,2018-08-01 17:00:00,JAMES STREET,40,29,72.5
10140,75,2018-08-01 18:00:00,JAMES STREET,40,27,67.5
10152,75,2018-08-01 19:00:00,JAMES STREET,40,26,65.0
10164,75,2018-08-01 20:00:00,JAMES STREET,40,26,65.0
10176,75,2018-08-01 21:00:00,JAMES STREET,40,23,57.49999999999999
10188,75,2018-08-01 22:00:00,JAMES STREET,40,21,52.5
10200,75,2018-08-01 23:00:00,JAMES STREET,40,19,47.5
13254,98,2018-08-01 13:00:00,FREDERICK STREET SOUTH,40,19,47.5
13266,98,2018-08-01 14:00:00,FREDERICK STREET SOUTH,40,21,52.5
13278,98,2018-08-01 15:00:00,FREDERICK STREET SOUTH,40,21,52.5
13290,98,2018-08-01 16:00:00,FREDERICK STREET SOUTH,40,28,70.0
13302,98,2018-08-01 17:00:00,FREDERICK STREET SOUTH,40,33,82.5
13314,98,2018-08-01 18:00:00,FREDERICK STREET SOUTH,40,40,100.0
13326,98,2018-08-01 19:00:00,FREDERICK STREET SOUTH,40,38,95.0
13338,98,2018-08-01 20:00:00,FREDERICK STREET SOUTH,40,40,100.0
13350,98,2018-08-01 21:00:00,FREDERICK STREET SOUTH,40,40,100.0
13362,98,2018-08-01 22:00:00,FREDERICK STREET SOUTH,40,33,82.5
13374,98,2018-08-01 23:00:00,FREDERICK STREET SOUTH,40,35,87.5
34476,69,2018-08-02 00:00:00,GRAND CANAL DOCK,40,40,100.0
34488,69,2018-08-02 01:00:00,GRAND CANAL DOCK,40,40,100.0
34500,69,2018-08-02 02:00:00,GRAND CANAL DOCK,40,40,100.0
34512,69,2018-08-02 03:00:00,GRAND CANAL DOCK,40,40,100.0
34524,69,2018-08-02 04:00:00,GRAND CANAL DOCK,40,40,100.0
34536,69,2018-08-02 05:00:00,GRAND CANAL DOCK,40,37,92.5
34548,69,2018-08-02 06:00:00,GRAND CANAL DOCK,40,24,60.0
34560,69,2018-08-02 07:00:00,GRAND CANAL DOCK,40,7,17.5
34572,69,2018-08-02 08:00:00,GRAND CANAL DOCK,40,0,0.0
34584,69,2018-08-02 09:00:00,GRAND CANAL DOCK,40,0,0.0
34596,69,2018-08-02 10:00:00,GRAND CANAL DOCK,40,1,2.5
34608,69,2018-08-02 11:00:00,GRAND CANAL DOCK,40,1,2.5
34620,69,2018-08-02 12:00:00,GRAND CANAL DOCK,40,2,5.0
34632,69,2018-08-02 13:00:00,GRAND CANAL DOCK,40,7,17.5
34644,69,2018-08-02 14:00:00,GRAND CANAL DOCK,40,1,2.5
34656,69,2018-08-02 15:00:00,GRAND CANAL DOCK,40,6,15.0
34668,69,2018-08-02 16:00:00,GRAND CANAL DOCK,40,13,32.5
34680,69,2018-08-02 17:00:00,GRAND CANAL DOCK,40,38,95.0
34692,69,2018-08-02 18:00:00,GRAND CANAL DOCK,40,40,100.0
34704,69,2018-08-02 19:00:00,GRAND CANAL DOCK,40,40,100.0
34716,69,2018-08-02 20:00:00,GRAND CANAL DOCK,40,40,100.0
34728,69,2018-08-02 21:00:00,GRAND CANAL DOCK,40,34,85.0
34740,69,2018-08-02 22:00:00,GRAND CANAL DOCK,40,30,75.0
34752,69,2018-08-02 23:00:00,GRAND CANAL DOCK,40,34,85.0
36204,75,2018-08-02 00:00:00,JAMES STREET,40,18,45.0
36216,75,2018-08-02 01:00:00,JAMES STREET,40,18,45.0
36228,75,2018-08-02 02:00:00,JAMES STREET,40,18,45.0
36240,75,2018-08-02 03:00:00,JAMES STREET,40,18,45.0
36252,75,2018-08-02 04:00:00,JAMES STREET,40,18,45.0
36264,75,2018-08-02 05:00:00,JAMES STREET,40,18,45.0
36276,75,2018-08-02 06:00:00,JAMES STREET,40,19,47.5
36288,75,2018-08-02 07:00:00,JAMES STREET,40,30,75.0
36300,75,2018-08-02 08:00:00,JAMES STREET,40,40,100.0
36312,75,2018-08-02 09:00:00,JAMES STREET,40,40,100.0
36324,75,2018-08-02 10:00:00,JAMES STREET,40,40,100.0
36336,75,2018-08-02 11:00:00,JAMES STREET,40,40,100.0
36348,75,2018-08-02 12:00:00,JAMES STREET,40,40,100.0
36360,75,2018-08-02 13:00:00,JAMES STREET,40,36,90.0
36372,75,2018-08-02 14:00:00,JAMES STREET,40,39,97.5
36384,75,2018-08-02 15:00:00,JAMES STREET,40,40,100.0
36396,75,2018-08-02 16:00:00,JAMES STREET,40,37,92.5
36408,75,2018-08-02 17:00:00,JAMES STREET,40,37,92.5
36420,75,2018-08-02 18:00:00,JAMES STREET,40,33,82.5
36432,75,2018-08-02 19:00:00,JAMES STREET,40,35,87.5
36444,75,2018-08-02 20:00:00,JAMES STREET,40,38,95.0
36456,75,2018-08-02 21:00:00,JAMES STREET,40,37,92.5
36468,75,2018-08-02 22:00:00,JAMES STREET,40,31,77.5
36480,75,2018-08-02 23:00:00,JAMES STREET,40,28,70.0
42828,98,2018-08-02 00:00:00,FREDERICK STREET SOUTH,40,40,100.0
42840,98,2018-08-02 01:00:00,FREDERICK STREET SOUTH,40,40,100.0
42852,98,2018-08-02 02:00:00,FREDERICK STREET SOUTH,40,40,100.0
42864,98,2018-08-02 03:00:00,FREDERICK STREET SOUTH,40,40,100.0
42876,98,2018-08-02 04:00:00,FREDERICK STREET SOUTH,40,40,100.0
42888,98,2018-08-02 05:00:00,FREDERICK STREET SOUTH,40,40,100.0
42900,98,2018-08-02 06:00:00,FREDERICK STREET SOUTH,40,36,90.0
42912,98,2018-08-02 07:00:00,FREDERICK STREET SOUTH,40,37,92.5
42924,98,2018-08-02 08:00:00,FREDERICK STREET SOUTH,40,35,87.5
42936,98,2018-08-02 09:00:00,FREDERICK STREET SOUTH,40,20,50.0
42948,98,2018-08-02 10:00:00,FREDERICK STREET SOUTH,40,22,55.00000000000001
42960,98,2018-08-02 11:00:00,FREDERICK STREET SOUTH,40,23,57.49999999999999
42972,98,2018-08-02 12:00:00,FREDERICK STREET SOUTH,40,19,47.5
42984,98,2018-08-02 13:00:00,FREDERICK STREET SOUTH,40,19,47.5
42996,98,2018-08-02 14:00:00,FREDERICK STREET SOUTH,40,20,50.0
43008,98,2018-08-02 15:00:00,FREDERICK STREET SOUTH,40,21,52.5
43020,98,2018-08-02 16:00:00,FREDERICK STREET SOUTH,40,24,60.0
43032,98,2018-08-02 17:00:00,FREDERICK STREET SOUTH,40,25,62.5
43044,98,2018-08-02 18:00:00,FREDERICK STREET SOUTH,40,33,82.5
43056,98,2018-08-02 19:00:00,FREDERICK STREET SOUTH,40,40,100.0
43068,98,2018-08-02 20:00:00,FREDERICK STREET SOUTH,40,40,100.0
43080,98,2018-08-02 21:00:00,FREDERICK STREET SOUTH,40,40,100.0
43092,98,2018-08-02 22:00:00,FREDERICK STREET SOUTH,40,40,100.0
43104,98,2018-08-02 23:00:00,FREDERICK STREET SOUTH,40,40,100.0
66156,69,2018-08-03 00:00:00,GRAND CANAL DOCK,40,35,87.5
66168,69,2018-08-03 01:00:00,GRAND CANAL DOCK,40,35,87.5
66180,69,2018-08-03 02:00:00,GRAND CANAL DOCK,40,35,87.5
66192,69,2018-08-03 03:00:00,GRAND CANAL DOCK,40,35,87.5
66204,69,2018-08-03 04:00:00,GRAND CANAL DOCK,40,35,87.5
66216,69,2018-08-03 05:00:00,GRAND CANAL DOCK,40,32,80.0
66228,69,2018-08-03 06:00:00,GRAND CANAL DOCK,40,29,72.5
66240,69,2018-08-03 07:00:00,GRAND CANAL DOCK,40,6,15.0
66252,69,2018-08-03 08:00:00,GRAND CANAL DOCK,40,0,0.0
66264,69,2018-08-03 09:00:00,GRAND CANAL DOCK,40,0,0.0
66276,69,2018-08-03 10:00:00,GRAND CANAL DOCK,40,4,10.0
66288,69,2018-08-03 11:00:00,GRAND CANAL DOCK,40,10,25.0
66300,69,2018-08-03 12:00:00,GRAND CANAL DOCK,40,12,30.0
66312,69,2018-08-03 13:00:00,GRAND CANAL DOCK,40,0,0.0
66324,69,2018-08-03 14:00:00,GRAND CANAL DOCK,40,3,7.5
66336,69,2018-08-03 15:00:00,GRAND CANAL DOCK,40,11,27.500000000000004
66348,69,2018-08-03 16:00:00,GRAND CANAL DOCK,40,27,67.5
66360,69,2018-08-03 17:00:00,GRAND CANAL DOCK,40,40,100.0
66372,69,2018-08-03 18:00:00,GRAND CANAL DOCK,40,38,95.0
66384,69,2018-08-03 19:00:00,GRAND CANAL DOCK,40,37,92.5
66396,69,2018-08-03 20:00:00,GRAND CANAL DOCK,40,38,95.0
66408,69,2018-08-03 21:00:00,GRAND CANAL DOCK,40,38,95.0
66420,69,2018-08-03 22:00:00,GRAND CANAL DOCK,40,40,100.0
66432,69,2018-08-03 23:00:00,GRAND CANAL DOCK,40,39,97.5
67884,75,2018-08-03 00:00:00,JAMES STREET,40,26,65.0
67896,75,2018-08-03 01:00:00,JAMES STREET,40,26,65.0
67908,75,2018-08-03 02:00:00,JAMES STREET,40,26,65.0
67920,75,2018-08-03 03:00:00,JAMES STREET,40,26,65.0
67932,75,2018-08-03 04:00:00,JAMES STREET,40,26,65.0
67944,75,2018-08-03 05:00:00,JAMES STREET,40,26,65.0
67956,75,2018-08-03 06:00:00,JAMES STREET,40,28,70.0
67968,75,2018-08-03 07:00:00,JAMES STREET,40,36,90.0
67980,75,2018-08-03 08:00:00,JAMES STREET,40,40,100.0
67992,75,2018-08-03 09:00:00,JAMES STREET,40,40,100.0
68004,75,2018-08-03 10:00:00,JAMES STREET,40,40,100.0
68016,75,2018-08-03 11:00:00,JAMES STREET,40,38,95.0
68028,75,2018-08-03 12:00:00,JAMES STREET,40,39,97.5
68040,75,2018-08-03 13:00:00,JAMES STREET,40,38,95.0
68052,75,2018-08-03 14:00:00,JAMES STREET,40,35,87.5
68064,75,2018-08-03 15:00:00,JAMES STREET,40,36,90.0
68076,75,2018-08-03 16:00:00,JAMES STREET,40,39,97.5
68088,75,2018-08-03 17:00:00,JAMES STREET,40,39,97.5
68100,75,2018-08-03 18:00:00,JAMES STREET,40,38,95.0
68112,75,2018-08-03 19:00:00,JAMES STREET,40,40,100.0
68124,75,2018-08-03 20:00:00,JAMES STREET,40,37,92.5
68136,75,2018-08-03 21:00:00,JAMES STREET,40,40,100.0
68148,75,2018-08-03 22:00:00,JAMES STREET,40,38,95.0
68160,75,2018-08-03 23:00:00,JAMES STREET,40,34,85.0
74508,98,2018-08-03 00:00:00,FREDERICK STREET SOUTH,40,40,100.0
74520,98,2018-08-03 01:00:00,FREDERICK STREET SOUTH,40,40,100.0
74532,98,2018-08-03 02:00:00,FREDERICK STREET SOUTH,40,40,100.0
74544,98,2018-08-03 03:00:00,FREDERICK STREET SOUTH,40,40,100.0
74556,98,2018-08-03 04:00:00,FREDERICK STREET SOUTH,40,40,100.0
74568,98,2018-08-03 05:00:00,FREDERICK STREET SOUTH,40,39,97.5
74580,98,2018-08-03 06:00:00,FREDERICK STREET SOUTH,40,38,95.0
74592,98,2018-08-03 07:00:00,FREDERICK STREET SOUTH,40,38,95.0
74604,98,2018-08-03 08:00:00,FREDERICK STREET SOUTH,40,40,100.0
74616,98,2018-08-03 09:00:00,FREDERICK STREET SOUTH,40,33,82.5
