,STATION ID,TIME,NAME,BIKE STANDS,AVAILABLE BIKE STANDS,AVAILABLE BIKES,Usage
17856,69,2020-04-01 00:00:00,GRAND CANAL DOCK,40,29,11,72.5
17868,69,2020-04-01 01:00:00,GRAND CANAL DOCK,40,29,11,72.5
17880,69,2020-04-01 02:00:00,GRAND CANAL DOCK,40,29,11,72.5
17892,69,2020-04-01 03:00:00,GRAND CANAL DOCK,40,29,11,72.5
17904,69,2020-04-01 04:00:00,GRAND CANAL DOCK,40,29,11,72.5
17916,69,2020-04-01 05:00:00,GRAND CANAL DOCK,40,29,11,72.5
17928,69,2020-04-01 06:00:00,GRAND CANAL DOCK,40,27,13,67.5
17940,69,2020-04-01 07:00:00,GRAND CANAL DOCK,40,28,12,70.0
17952,69,2020-04-01 08:00:00,GRAND CANAL DOCK,40,26,14,65.0
17964,69,2020-04-01 09:00:00,GRAND CANAL DOCK,40,25,15,62.5
17976,69,2020-04-01 10:00:00,GRAND CANAL DOCK,40,27,12,67.5
17988,69,2020-04-01 11:00:00,GRAND CANAL DOCK,40,27,12,67.5
18000,69,2020-04-01 12:00:00,GRAND CANAL DOCK,40,32,8,80.0
18012,69,2020-04-01 13:00:00,GRAND CANAL DOCK,40,31,9,77.5
18024,69,2020-04-01 14:00:00,GRAND CANAL DOCK,40,27,13,67.5
18036,69,2020-04-01 15:00:00,GRAND CANAL DOCK,40,27,13,67.5
18048,69,2020-04-01 16:00:00,GRAND CANAL DOCK,40,25,14,62.5
18060,69,2020-04-01 17:00:00,GRAND CANAL DOCK,40,32,7,80.0
18072,69,2020-04-01 18:00:00,GRAND CANAL DOCK,40,33,7,82.5
18084,69,2020-04-01 19:00:00,GRAND CANAL DOCK,40,29,11,72.5
18096,69,2020-04-01 20:00:00,GRAND CANAL DOCK,40,25,15,62.5
18108,69,2020-04-01 21:00:00,GRAND CANAL DOCK,40,26,14,65.0
18120,69,2020-04-01 22:00:00,GRAND CANAL DOCK,40,27,13,67.5
18132,69,2020-04-01 23:00:00,GRAND CANAL DOCK,40,27,13,67.5
19296,75,2020-04-01 00:00:00,JAMES STREET,40,25,15,62.5
19308,75,2020-04-01 01:00:00,JAMES STREET,40,25,15,62.5
19320,75,2020-04-01 02:00:00,JAMES STREET,40,25,15,62.5
19332,75,2020-04-01 03:00:00,JAMES STREET,40,25,15,62.5
19344,75,2020-04-01 04:00:00,JAMES STREET,40,25,15,62.5
19356,75,2020-04-01 05:00:00,JAMES STREET,40,26,14,65.0
19368,75,2020-04-01 06:00:00,JAMES STREET,40,26,14,65.0
19380,75,2020-04-01 07:00:00,JAMES STREET,40,27,13,67.5
19392,75,2020-04-01 08:00:00,JAMES STREET,40,26,13,65.0
19404,75,2020-04-01 09:00:00,JAMES STREET,40,27,12,67.5
19416,75,2020-04-01 10:00:00,JAMES STREET,40,27,12,67.5
19428,75,2020-04-01 11:00:00,JAMES STREET,40,27,12,67.5
19440,75,2020-04-01 12:00:00,JAMES STREET,40,28,11,70.0
19452,75,2020-04-01 13:00:00,JAMES STREET,40,30,10,75.0
19464,75,2020-04-01 14:00:00,JAMES STREET,40,34,6,85.0
19476,75,2020-04-01 15:00:00,JAMES STREET,40,34,6,85.0
